Genome_ID	Species	Accession	Gene_ID	Module_ID	Catalog_gene_symbol	locus_tag	Prokka_gene	EC_number	product	Evidence
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC005	FM01	tpi	LABG0003_01359	tpiA	5.3.1.1	Triosephosphate isomerase	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC007	FM01	pgk	LABG0003_01360	pgk	2.7.2.3	Phosphoglycerate kinase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC006	FM01	gap	LABG0003_01361	gap	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC023	FM06	pfl	LABG0003_01412	pflB	2.3.1.54	Formate acetyltransferase	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC021	FM05	adhE	LABG0003_01423	adhD	1.1.1.1	Putative alcohol dehydrogenase D	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC022	FM05	adh	LABG0003_01423	adhD	1.1.1.1	Putative alcohol dehydrogenase D	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC031	FM07	adhE	LABG0003_01423	adhD	1.1.1.1	Putative alcohol dehydrogenase D	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC025	FM06	alsD	LABG0003_01443	alsD	4.1.1.5	Alpha-acetolactate decarboxylase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC024	FM06	alsS	LABG0003_01444	alsS	2.2.1.6	Acetolactate synthase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC024	FM06	alsS	LABG0003_01499	ilvH	2.2.1.6	Putative acetolactate synthase small subunit	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC024	FM06	alsS	LABG0003_01500	ilvB	2.2.1.6	Acetolactate synthase large subunit	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC004	FM01	fba	LABG0003_01675	fda	4.1.2.13	Fructose-bisphosphate aldolase class 1	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC021	FM05	adhE	LABG0003_01778	adhA	1.1.1.1	Alcohol dehydrogenase 1	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC022	FM05	adh	LABG0003_01778	adhA	1.1.1.1	Alcohol dehydrogenase 1	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC031	FM07	adhE	LABG0003_01778	adhA	1.1.1.1	Alcohol dehydrogenase 1	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC004	FM01	fba	LABG0003_02060	fbaA	4.1.2.13	putative fructose-bisphosphate aldolase	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC019	FM04	pta	LABG0003_02092	pta	2.3.1.8	Phosphate acetyltransferase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC013	FM03	xfp	LABG0003_02183	xpkA	4.1.2.9	Xylulose-5-phosphate phosphoketolase	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC021	FM05	adhE	LABG0003_02838	adh	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC022	FM05	adh	LABG0003_02838	adh	1.1.1.1	Alcohol dehydrogenase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC031	FM07	adhE	LABG0003_02838	adh	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC011	FM02	ldh	LABG0003_03004	ldh1	1.1.1.27	L-lactate dehydrogenase 1	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC032	FM07	ldh	LABG0003_03004	ldh1	1.1.1.27	L-lactate dehydrogenase 1	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC015	FM03	pgl	LABG0003_03010	pgl	3.1.1.31	6-phosphogluconolactonase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC021	FM05	adhE	LABG0003_03039	adhE		Aldehyde-alcohol dehydrogenase	gene
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC031	FM07	adhE	LABG0003_03039	adhE		Aldehyde-alcohol dehydrogenase	gene
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC020	FM04	ackA	LABG0003_03381	ackA_2	2.7.2.1	Acetate kinase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC011	FM02	ldh	LABG0004_00336	ldh_1	1.1.1.27	L-lactate dehydrogenase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC032	FM07	ldh	LABG0004_00336	ldh_1	1.1.1.27	L-lactate dehydrogenase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC015	FM03	pgl	LABG0004_01394	pgl	3.1.1.31	6-phosphogluconolactonase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC022	FM05	adh	LABG0004_01474	adh	1.1.1.-	NADP-dependent (R)-specific alcohol dehydrogenase	gene
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC017	FM03	rpe	LABG0004_01686	rpe	5.1.3.1	Ribulose-phosphate 3-epimerase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC021	FM05	adhE	LABG0004_01961	adhT	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC022	FM05	adh	LABG0004_01961	adhT	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC031	FM07	adhE	LABG0004_01961	adhT	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC014	FM03	zwf	LABG0004_02525	zwf	1.1.1.49	Glucose-6-phosphate 1-dehydrogenase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC016	FM03	gnd	LABG0004_02526	gndA	1.1.1.44	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC011	FM02	ldh	LABG0004_02549	ldh_2	1.4.1.9	Leucine dehydrogenase	gene
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC032	FM07	ldh	LABG0004_02549	ldh_2	1.4.1.9	Leucine dehydrogenase	gene
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC001	FM01	glk	LABG0004_02629	glcK	2.7.1.2	Glucokinase	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC021	FM05	adhE	LABG0004_02846		1.1.1.1	putative zinc-binding alcohol dehydrogenase	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC022	FM05	adh	LABG0004_02846		1.1.1.1	putative zinc-binding alcohol dehydrogenase	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC031	FM07	adhE	LABG0004_02846		1.1.1.1	putative zinc-binding alcohol dehydrogenase	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC024	FM06	alsS	LABG0004_02985	ilvH	2.2.1.6	Acetolactate synthase small subunit	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC024	FM06	alsS	LABG0004_02986	ilvB	2.2.1.6	Acetolactate synthase large subunit	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC010	FM01	pyk	LABG0004_03074	pyk	2.7.1.40	Pyruvate kinase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC003	FM01	pfk	LABG0004_03075	pfkA	2.7.1.11	ATP-dependent 6-phosphofructokinase	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC020	FM04	ackA	LABG0004_03105	ackA	2.7.2.1	Acetate kinase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC002	FM01	pgi	LABG0004_03317	pgi	5.3.1.9	Glucose-6-phosphate isomerase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC009	FM01	eno	LABG0004_03579	eno	4.2.1.11	Enolase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC005	FM01	tpi	LABG0004_03581	tpiA	5.3.1.1	Triosephosphate isomerase	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC007	FM01	pgk	LABG0004_03582	pgk	2.7.2.3	Phosphoglycerate kinase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC006	FM01	gap	LABG0004_03583	gapA	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase 1	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC025	FM06	alsD	LABG0004_03793	alsD	4.1.1.5	Alpha-acetolactate decarboxylase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC024	FM06	alsS	LABG0004_03794	alsS	2.2.1.6	Acetolactate synthase	gene+EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC004	FM01	fba	LABG0004_03906	fbaA	4.1.2.13	putative fructose-bisphosphate aldolase	EC
LABG_0004	Bacillus subtilis	GCF_000009045.1	GC019	FM04	pta	LABG0004_03960	pta	2.3.1.8	Phosphate acetyltransferase	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC019	FM04	pta	LABG0005_00404	pta	2.3.1.8	Phosphate acetyltransferase	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC020	FM04	ackA	LABG0005_00405	ackA	2.7.2.1	Acetate kinase	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC001	FM01	glk	LABG0005_00489	glk	2.7.1.2	Glucokinase	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC006	FM01	gap	LABG0005_00856	gapA	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase A	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC015	FM03	pgl	LABG0005_00999	pgl_1	3.1.1.31	6-phosphogluconolactonase	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC009	FM01	eno	LABG0005_01098	eno	4.2.1.11	Enolase	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC021	FM05	adhE	LABG0005_01219	adh	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC022	FM05	adh	LABG0005_01219	adh	1.1.1.1	Alcohol dehydrogenase	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC031	FM07	adhE	LABG0005_01219	adh	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC023	FM06	pfl	LABG0005_01266	pflB	2.3.1.54	Formate acetyltransferase	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC012	FM02	ldhD	LABG0005_01324	ldhA	1.1.1.28	D-lactate dehydrogenase	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC033	FM07	ldhD	LABG0005_01324	ldhA	1.1.1.28	D-lactate dehydrogenase	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC018	FM03	rpi	LABG0005_01576	rpiB	5.3.1.6	Ribose-5-phosphate isomerase B	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC016	FM03	gnd	LABG0005_01846	gnd	1.1.1.44	6-phosphogluconate dehydrogenase, decarboxylating	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC014	FM03	zwf	LABG0005_01847	zwf	1.1.1.49	Glucose-6-phosphate 1-dehydrogenase	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC015	FM03	pgl	LABG0005_01848	pgl_2	3.1.1.31	6-phosphogluconolactonase	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC030	FM07	npr	LABG0005_02986	rbr3A	1.11.1.1	Reverse rubrerythrin-1	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC004	FM01	fba	LABG0005_03060	fbaB	4.1.2.13	Fructose-bisphosphate aldolase class 1	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC008	FM01	pgm	LABG0005_03061	gpmA	5.4.2.11	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC007	FM01	pgk	LABG0005_03078	pgk	2.7.2.3	Phosphoglycerate kinase	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC004	FM01	fba	LABG0005_03108	fda	4.1.2.13	Fructose-bisphosphate aldolase	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC003	FM01	pfk	LABG0005_03145	pfkB	2.7.1.11	ATP-dependent 6-phosphofructokinase	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC018	FM03	rpi	LABG0005_03455	rpiA	5.3.1.6	Ribose-5-phosphate isomerase A	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC003	FM01	pfk	LABG0005_03522	pfkA	2.7.1.11	ATP-dependent 6-phosphofructokinase 1	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC024	FM06	alsS	LABG0005_03534	ilvH	2.2.1.6	Putative acetolactate synthase small subunit	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC024	FM06	alsS	LABG0005_03535	ilvG	2.2.1.6	Acetolactate synthase isozyme 2 large subunit	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC002	FM01	pgi	LABG0005_03586	pgi	5.3.1.9	Glucose-6-phosphate isomerase	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC017	FM03	rpe	LABG0005_03658	rpe	5.1.3.1	Ribulose-phosphate 3-epimerase	gene+EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC005	FM01	tpi	LABG0005_03712	tpiA	5.3.1.1	Triosephosphate isomerase	EC
LABG_0005	Bacteroides fragilis	GCF_000025985.1	GC010	FM01	pyk	LABG0005_04272	pyk	2.7.1.40	Pyruvate kinase	gene+EC
LABG_0006	Bacteroides xylanisolvens	GCF_018289135.1	GC015	FM03	pgl	LABG0006_00055	pgl_1	3.1.1.31	6-phosphogluconolactonase	gene+EC
LABG_0006	Bacteroides xylanisolvens	GCF_018289135.1	GC021	FM05	adhE	LABG0006_00174	adh	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0006	Bacteroides xylanisolvens	GCF_018289135.1	GC022	FM05	adh	LABG0006_00174	adh	1.1.1.1	Alcohol dehydrogenase	gene+EC
LABG_0006	Bacteroides xylanisolvens	GCF_018289135.1	GC031	FM07	adhE	LABG0006_00174	adh	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0006	Bacteroides xylanisolvens	GCF_018289135.1	GC009	FM01	eno	LABG0006_00219	eno	4.2.1.11	Enolase	gene+EC
LABG_0006	Bacteroides xylanisolvens	GCF_018289135.1	GC001	FM01	glk	LABG0006_00405	glk_1	2.7.1.2	Glucokinase	gene+EC
LABG_0006	Bacteroides xylanisolvens	GCF_018289135.1	GC023	FM06	pfl	LABG0006_00511	pflB	2.3.1.54	Formate acetyltransferase	EC
LABG_0006	Bacteroides xylanisolvens	GCF_018289135.1	GC030	FM07	npr	LABG0006_00676	rbr3A	1.11.1.1	Reverse rubrerythrin-1	EC
