Genome_ID,Species,Accession,Study_group,GC001,GC002,GC003,GC004,GC005,GC006,GC007,GC008,GC009,GC010,GC011,GC012,GC013,GC014,GC015,GC016,GC017,GC018,GC019,GC020,GC021,GC022,GC023,GC024,GC025,GC027,GC029,GC030,GC031,GC032,GC033
LABG_0025,Lactiplantibacillus plantarum,GCF_000412205.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0026,Lactiplantibacillus plantarum,GCF_000466905.3,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0027,Lactiplantibacillus plantarum,GCF_000604105.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0028,Lactiplantibacillus plantarum,GCF_000931425.2,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0029,Lactiplantibacillus plantarum,GCF_001272315.2,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0030,Lactiplantibacillus plantarum,GCF_001278015.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0031,Lactiplantibacillus plantarum,GCF_001296095.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0032,Lactiplantibacillus plantarum,GCF_001302645.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0033,Lactiplantibacillus plantarum,GCF_001331925.2,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0034,Lactiplantibacillus paraplantarum,GCF_001443645.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0035,Lactiplantibacillus plantarum,GCF_001484005.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0036,Lactiplantibacillus plantarum,GCF_001581895.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0037,Lactiplantibacillus plantarum,GCF_001596095.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0038,Lactiplantibacillus plantarum,GCF_001617525.2,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0039,Lactiplantibacillus plantarum,GCF_001659745.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0040,Lactiplantibacillus plantarum,GCF_001660025.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0041,Lactiplantibacillus plantarum,GCF_001672035.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0042,Lactiplantibacillus plantarum,GCF_001704315.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0043,Lactiplantibacillus plantarum,GCF_001704335.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0044,Lactiplantibacillus plantarum,GCF_001715615.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0045,Lactiplantibacillus plantarum,GCF_001874125.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0046,Lactiplantibacillus plantarum,GCF_001880185.2,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0047,Lactiplantibacillus plantarum,GCF_001990145.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0048,Lactiplantibacillus plantarum,GCF_002005385.2,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0049,Lactiplantibacillus plantarum,GCF_002024845.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0050,Lactiplantibacillus plantarum,GCF_002109405.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0051,Lactiplantibacillus plantarum,GCF_002109425.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0052,Lactiplantibacillus plantarum,GCF_002116955.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0053,Lactiplantibacillus plantarum,GCF_002117245.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0054,Lactiplantibacillus plantarum,GCF_002117265.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0055,Lactiplantibacillus plantarum,GCF_002117285.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0056,Lactiplantibacillus plantarum,GCF_002117305.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0057,Lactiplantibacillus plantarum,GCF_002173655.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0058,Lactiplantibacillus plantarum,GCF_002174195.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0059,Lactiplantibacillus plantarum,GCF_002205775.2,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0060,Lactiplantibacillus pentosus,GCF_002211885.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0061,Lactiplantibacillus plantarum,GCF_002220175.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0062,Lactiplantibacillus plantarum,GCF_002220815.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0063,Lactiplantibacillus plantarum,GCF_002286275.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0064,Lactiplantibacillus plantarum,GCF_002290185.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0065,Lactiplantibacillus plantarum,GCF_002576835.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0066,Lactiplantibacillus plantarum,GCF_002749655.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0067,Lactiplantibacillus pentosus,GCF_002850015.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0068,Lactiplantibacillus plantarum,GCF_002868755.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0069,Lactiplantibacillus plantarum,GCF_002868775.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0070,Lactiplantibacillus plantarum,GCF_002895245.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0071,Lactiplantibacillus plantarum,GCF_002906875.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0072,Lactiplantibacillus plantarum,GCF_002943545.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0073,Lactiplantibacillus plantarum,GCF_002948215.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0074,Lactiplantibacillus koreensis,GCF_002970915.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
LABG_0075,Lactiplantibacillus kimchii,GCF_002970935.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
LABG_0076,Lactiplantibacillus plantarum,GCF_003020005.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0077,Lactiplantibacillus plantarum,GCF_003097595.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0078,Lactiplantibacillus plantarum,GCF_003143915.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0079,Lactiplantibacillus plantarum,GCF_003269405.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0080,Lactiplantibacillus plantarum,GCF_003286955.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0081,Lactiplantibacillus plantarum,GCF_003325395.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0082,Lactiplantibacillus plantarum,GCF_003345375.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0083,Lactiplantibacillus plantarum,GCF_003352125.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0084,Lactiplantibacillus plantarum,GCF_003428355.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0085,Lactiplantibacillus plantarum,GCF_003586485.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0086,Lactiplantibacillus plantarum,GCF_003589725.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0087,Lactiplantibacillus plantarum,GCF_003597595.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0088,Lactiplantibacillus plantarum,GCF_003597615.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0089,Lactiplantibacillus plantarum,GCF_003597635.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0090,Lactiplantibacillus plantarum,GCF_003611015.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0091,Lactiplantibacillus pentosus,GCF_003627295.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0092,Lactiplantibacillus plantarum,GCF_003627335.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0093,Lactiplantibacillus plantarum,GCF_003627355.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0094,Lactiplantibacillus pentosus,GCF_003627375.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0095,Lactiplantibacillus paraplantarum,GCF_003641145.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0096,Lactiplantibacillus argentoratensis,GCF_003641165.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0097,Lactiplantibacillus pentosus,GCF_003641185.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0098,Lactiplantibacillus plantarum,GCF_003813125.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0099,Lactiplantibacillus plantarum,GCF_003966855.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0100,Lactiplantibacillus plantarum,GCF_003999275.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0101,Lactiplantibacillus plantarum,GCF_003999605.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0102,Lactiplantibacillus plantarum,GCF_004028295.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0103,Lactiplantibacillus plantarum,GCF_004028315.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0104,Lactiplantibacillus plantarum,GCF_004028335.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0105,Lactiplantibacillus plantarum,GCF_004087995.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0106,Lactiplantibacillus plantarum,GCF_004101325.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0107,Lactiplantibacillus plantarum,GCF_004101505.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0108,Lactiplantibacillus plantarum,GCF_004101545.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0109,Lactiplantibacillus plantarum,GCF_004101625.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0110,Lactiplantibacillus plantarum,GCF_004101645.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0111,Lactiplantibacillus plantarum,GCF_004103495.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0112,Lactiplantibacillus plantarum,GCF_004103515.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0113,Lactiplantibacillus plantarum,GCF_004141755.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0114,Lactiplantibacillus plantarum,GCF_004141875.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0115,Lactiplantibacillus plantarum,GCF_004141895.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0116,Lactiplantibacillus plantarum,GCF_004319665.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0117,Lactiplantibacillus plantarum,GCF_004328745.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0118,Lactiplantibacillus plantarum,GCF_004337615.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0119,Lactiplantibacillus plantarum,GCF_004730965.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0120,Lactiplantibacillus plantarum,GCF_005576935.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0121,Lactiplantibacillus plantarum,GCF_006770485.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0122,Lactiplantibacillus plantarum,GCF_006770505.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0123,Lactiplantibacillus plantarum,GCF_007833595.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0124,Lactiplantibacillus plantarum,GCF_009619495.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0125,Lactiplantibacillus plantarum,GCF_009720585.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0126,Lactiplantibacillus plantarum,GCF_009759825.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0127,Lactiplantibacillus plantarum,GCF_009759845.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0128,Lactiplantibacillus plantarum,GCF_009762745.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0129,Lactiplantibacillus plantarum,GCF_009913615.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0130,Lactiplantibacillus plantarum,GCF_009913635.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0131,Lactiplantibacillus plantarum,GCF_009913655.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0132,Lactiplantibacillus plantarum,GCF_009913675.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0133,Lactiplantibacillus plantarum,GCF_009913695.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0134,Lactiplantibacillus plantarum,GCF_009913835.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0135,Lactiplantibacillus plantarum,GCF_009913855.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0136,Lactiplantibacillus plantarum,GCF_009913975.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0137,Lactiplantibacillus plantarum,GCF_009914095.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
