Genome_ID,Species_original,Species_current,Genus,Accession,FASTA_file,Study_group,Duplicate_accession,Include_primary_analysis,Assembly_level,Genome_size_bp,GC_percent,CDS,rRNA,tRNA,Contigs,N50_bp,Isolation_source,Fermentation_type,Notes
LABG_0016,Enterococcus faecalis,Enterococcus faecalis,Enterococcus,GCF_000393015.1,GCF_000393015.1_Ente_faec_T5_V1_genomic.fna,Enterococcus,False,,,2870381,37.3688,,,,3,,,,
LABG_0017,Enterococcus faecium,Enterococcus faecium,Enterococcus,GCF_009734005.1,GCF_009734005.1_ASM973400v2_genomic.fna,Enterococcus,False,,,2919198,37.8767,,,,2,,,,
LABG_0018,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,GCF_002813755.1,GCF_002813755.1_ASM281375v1_genomic.fna,Enterococcus,False,,,3504528,38.1853,,,,2,,,,
LABG_0019,Escherichia coli Nissle 1917,Escherichia coli Nissle 1917,Escherichia,GCF_000714595.1,GCF_000714595.1_ASM71459v1_genomic.fna,external_comparator,False,,,5441200,50.5779,,,,1,,,,
LABG_0020,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,GCF_000154385.1,GCF_000154385.1_ASM15438v1_genomic.fna,external_comparator,False,,,3127383,56.2319,,,,25,,,,
LABG_0021,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000023085.1,GCF_000023085.1.fna,core_LAB,False,,,3197759,44.6609,,,,1,,,,
LABG_0022,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000148815.2,GCF_000148815.2.fna,core_LAB,False,,,3307936,44.4812,,,,2,,,,
LABG_0023,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000203855.3,GCF_000203855.3.fna,core_LAB,False,,,3348624,44.4177,,,,4,,,,
LABG_0024,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000338115.2,GCF_000338115.2.fna,core_LAB,False,,,3299755,44.4932,,,,4,,,,
LABG_0025,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000412205.1,GCF_000412205.1.fna,core_LAB,False,,,3361015,44.3449,,,,11,,,,
LABG_0026,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000466905.3,GCF_000466905.3.fna,core_LAB,False,,,3465655,44.2895,,,,11,,,,
LABG_0027,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000604105.1,GCF_000604105.1.fna,core_LAB,False,,,3210111,44.6393,,,,3,,,,
LABG_0028,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000931425.2,GCF_000931425.2.fna,core_LAB,False,,,3310674,44.4202,,,,3,,,,
LABG_0029,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001272315.2,GCF_001272315.2.fna,core_LAB,False,,,3273239,44.443,,,,3,,,,
LABG_0030,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001278015.1,GCF_001278015.1.fna,core_LAB,False,,,3237652,44.6591,,,,1,,,,
LABG_0031,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001296095.1,GCF_001296095.1.fna,core_LAB,False,,,3198337,44.6556,,,,1,,,,
LABG_0032,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001302645.1,GCF_001302645.1.fna,core_LAB,False,,,3405709,44.311,,,,11,,,,
LABG_0033,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001331925.2,GCF_001331925.2.fna,core_LAB,False,,,3141590,44.684,,,,1,,,,
LABG_0034,Lactiplantibacillus paraplantarum,Lactiplantibacillus paraplantarum,Lactiplantibacillus,GCF_001443645.1,GCF_001443645.1.fna,core_LAB,False,,,3139729,43.9522,,,,1,,,,
LABG_0035,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001484005.1,GCF_001484005.1.fna,core_LAB,False,,,3322458,44.4655,,,,3,,,,
LABG_0036,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001581895.1,GCF_001581895.1.fna,core_LAB,False,,,2952218,44.9337,,,,1,,,,
LABG_0037,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001596095.1,GCF_001596095.1.fna,core_LAB,False,,,3262611,44.4783,,,,1,,,,
LABG_0038,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001617525.2,GCF_001617525.2.fna,core_LAB,False,,,3274606,44.5218,,,,4,,,,
LABG_0039,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001659745.1,GCF_001659745.1.fna,core_LAB,False,,,3263715,44.5466,,,,4,,,,
LABG_0040,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001660025.1,GCF_001660025.1.fna,core_LAB,False,,,3425292,44.3503,,,,6,,,,
LABG_0041,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001672035.1,GCF_001672035.1.fna,core_LAB,False,,,3354689,44.3558,,,,1,,,,
LABG_0042,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001704315.1,GCF_001704315.1.fna,core_LAB,False,,,3692742,44.1083,,,,4,,,,
LABG_0043,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001704335.1,GCF_001704335.1.fna,core_LAB,False,,,3697306,44.0839,,,,4,,,,
LABG_0044,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001715615.1,GCF_001715615.1.fna,core_LAB,False,,,3128783,44.7353,,,,2,,,,
LABG_0045,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001874125.1,GCF_001874125.1.fna,core_LAB,False,,,3392777,44.4274,,,,7,,,,
LABG_0046,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001880185.2,GCF_001880185.2.fna,core_LAB,False,,,3576440,44.2154,,,,15,,,,
LABG_0047,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001990145.1,GCF_001990145.1.fna,core_LAB,False,,,3462990,44.3158,,,,7,,,,
LABG_0048,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002005385.2,GCF_002005385.2.fna,core_LAB,False,,,3311056,44.513,,,,1,,,,
LABG_0049,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002024845.1,GCF_002024845.1.fna,core_LAB,False,,,3230754,44.5371,,,,2,,,,
LABG_0050,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002109405.1,GCF_002109405.1.fna,core_LAB,False,,,3196967,44.6002,,,,2,,,,
LABG_0051,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002109425.1,GCF_002109425.1.fna,core_LAB,False,,,3284622,44.5486,,,,1,,,,
LABG_0052,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002116955.1,GCF_002116955.1.fna,core_LAB,False,,,3476011,44.1922,,,,6,,,,
LABG_0053,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002117245.1,GCF_002117245.1.fna,core_LAB,False,,,3351899,44.3012,,,,9,,,,
LABG_0054,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002117265.1,GCF_002117265.1.fna,core_LAB,False,,,3400131,44.221,,,,11,,,,
LABG_0055,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002117285.1,GCF_002117285.1.fna,core_LAB,False,,,3246485,44.5566,,,,5,,,,
LABG_0056,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002117305.1,GCF_002117305.1.fna,core_LAB,False,,,3332882,44.3511,,,,5,,,,
LABG_0057,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002173655.1,GCF_002173655.1.fna,core_LAB,False,,,3331364,44.432,,,,4,,,,
LABG_0058,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002174195.1,GCF_002174195.1.fna,core_LAB,False,,,3223596,44.5992,,,,1,,,,
LABG_0059,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002205775.2,GCF_002205775.2.fna,core_LAB,False,,,3200572,44.6381,,,,2,,,,
LABG_0060,Lactiplantibacillus pentosus,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_002211885.1,GCF_002211885.1.fna,core_LAB,False,,,3583008,46.3977,,,,2,,,,
LABG_0061,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002220175.1,GCF_002220175.1.fna,core_LAB,False,,,3325676,44.5184,,,,1,,,,
LABG_0062,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002220815.1,GCF_002220815.1.fna,core_LAB,False,,,3040388,44.8696,,,,1,,,,
LABG_0063,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002286275.1,GCF_002286275.1.fna,core_LAB,False,,,3329954,44.4416,,,,3,,,,
LABG_0064,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002290185.1,GCF_002290185.1.fna,core_LAB,False,,,3581586,44.2023,,,,5,,,,
LABG_0065,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002576835.1,GCF_002576835.1.fna,core_LAB,False,,,3452904,44.333,,,,3,,,,
LABG_0066,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002749655.1,GCF_002749655.1.fna,core_LAB,False,,,3309473,44.4705,,,,5,,,,
LABG_0067,Lactiplantibacillus pentosus,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_002850015.1,GCF_002850015.1.fna,core_LAB,False,,,3676811,46.1782,,,,6,,,,
LABG_0068,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002868755.1,GCF_002868755.1.fna,core_LAB,False,,,3330006,44.5483,,,,4,,,,
LABG_0069,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002868775.1,GCF_002868775.1.fna,core_LAB,False,,,3373076,44.4905,,,,2,,,,
LABG_0070,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002895245.1,GCF_002895245.1.fna,core_LAB,False,,,3198690,44.5887,,,,1,,,,
LABG_0071,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002906875.1,GCF_002906875.1.fna,core_LAB,False,,,3541869,44.1351,,,,4,,,,
LABG_0072,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002943545.1,GCF_002943545.1.fna,core_LAB,False,,,3407054,44.3771,,,,7,,,,
LABG_0073,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002948215.1,GCF_002948215.1.fna,core_LAB,False,,,3291849,44.5048,,,,1,,,,
LABG_0074,Lactiplantibacillus koreensis,Lactiplantibacillus koreensis,Lactiplantibacillus,GCF_002970915.1,GCF_002970915.1.fna,core_LAB,False,,,2552584,42.775,,,,4,,,,
LABG_0075,Lactiplantibacillus kimchii,Lactiplantibacillus kimchii,Lactiplantibacillus,GCF_002970935.1,GCF_002970935.1.fna,core_LAB,False,,,2559736,43.1488,,,,4,,,,
LABG_0076,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003020005.1,GCF_003020005.1.fna,core_LAB,False,,,3412154,44.3828,,,,7,,,,
LABG_0077,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003097595.1,GCF_003097595.1.fna,core_LAB,False,,,3447624,44.337,,,,8,,,,
LABG_0078,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003143915.1,GCF_003143915.1.fna,core_LAB,False,,,3230597,44.5373,,,,2,,,,
LABG_0079,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003269405.1,GCF_003269405.1.fna,core_LAB,False,,,3231249,44.5629,,,,1,,,,
LABG_0080,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003286955.1,GCF_003286955.1.fna,core_LAB,False,,,3250749,44.5419,,,,3,,,,
LABG_0081,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003325395.1,GCF_003325395.1.fna,core_LAB,False,,,3191992,44.6263,,,,3,,,,
LABG_0082,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003345375.1,GCF_003345375.1.fna,core_LAB,False,,,3387168,44.321,,,,2,,,,
LABG_0083,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003352125.1,GCF_003352125.1.fna,core_LAB,False,,,3211268,44.6375,,,,1,,,,
LABG_0084,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003428355.1,GCF_003428355.1.fna,core_LAB,False,,,3242652,44.5187,,,,1,,,,
LABG_0085,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003586485.1,GCF_003586485.1.fna,core_LAB,False,,,3230619,44.5374,,,,2,,,,
LABG_0086,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003589725.1,GCF_003589725.1.fna,core_LAB,False,,,3412302,44.3269,,,,4,,,,
LABG_0087,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003597595.1,GCF_003597595.1.fna,core_LAB,False,,,3262505,44.4969,,,,2,,,,
LABG_0088,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003597615.1,GCF_003597615.1.fna,core_LAB,False,,,3275764,44.5045,,,,2,,,,
LABG_0089,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003597635.1,GCF_003597635.1.fna,core_LAB,False,,,3175098,45.0954,,,,4,,,,
LABG_0090,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003611015.1,GCF_003611015.1.fna,core_LAB,False,,,3216285,44.5276,,,,6,,,,
LABG_0091,Lactiplantibacillus pentosus,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_003627295.1,GCF_003627295.1.fna,core_LAB,False,,,3701596,46.1468,,,,5,,,,
LABG_0092,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003627335.1,GCF_003627335.1.fna,core_LAB,False,,,3434010,44.2562,,,,6,,,,
LABG_0093,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003627355.1,GCF_003627355.1.fna,core_LAB,False,,,3303780,44.5035,,,,4,,,,
LABG_0094,Lactiplantibacillus pentosus,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_003627375.1,GCF_003627375.1.fna,core_LAB,False,,,3687169,46.1927,,,,4,,,,
LABG_0095,Lactiplantibacillus paraplantarum,Lactiplantibacillus paraplantarum,Lactiplantibacillus,GCF_003641145.1,GCF_003641145.1.fna,core_LAB,False,,,3368529,43.8578,,,,7,,,,
LABG_0096,Lactiplantibacillus argentoratensis,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_003641165.1,GCF_003641165.1.fna,core_LAB,False,,,3350338,44.9703,,,,6,,,,
LABG_0097,Lactiplantibacillus pentosus,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_003641185.1,GCF_003641185.1.fna,core_LAB,False,,,3671373,46.3355,,,,2,,,,
LABG_0098,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003813125.1,GCF_003813125.1.fna,core_LAB,False,,,3281039,44.5091,,,,5,,,,
LABG_0099,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003966855.1,GCF_003966855.1.fna,core_LAB,False,,,3415192,44.2715,,,,5,,,,
LABG_0100,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003999275.1,GCF_003999275.1.fna,core_LAB,False,,,3232240,44.6037,,,,1,,,,
LABG_0101,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003999605.1,GCF_003999605.1.fna,core_LAB,False,,,2981934,44.8705,,,,5,,,,
LABG_0102,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004028295.1,GCF_004028295.1.fna,core_LAB,False,,,3249304,44.5181,,,,6,,,,
LABG_0103,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004028315.1,GCF_004028315.1.fna,core_LAB,False,,,3273679,44.4894,,,,7,,,,
LABG_0104,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004028335.1,GCF_004028335.1.fna,core_LAB,False,,,3403608,44.3964,,,,8,,,,
LABG_0105,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004087995.1,GCF_004087995.1.fna,core_LAB,False,,,3448313,44.2748,,,,6,,,,
LABG_0106,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004101325.1,GCF_004101325.1.fna,core_LAB,False,,,3441456,44.3382,,,,5,,,,
LABG_0107,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004101505.1,GCF_004101505.1.fna,core_LAB,False,,,3543241,44.2891,,,,5,,,,
LABG_0108,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004101545.1,GCF_004101545.1.fna,core_LAB,False,,,3276501,44.5555,,,,3,,,,
LABG_0109,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004101625.1,GCF_004101625.1.fna,core_LAB,False,,,3320714,44.3846,,,,6,,,,
LABG_0110,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004101645.1,GCF_004101645.1.fna,core_LAB,False,,,3480687,44.309,,,,5,,,,
LABG_0111,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004103495.1,GCF_004103495.1.fna,core_LAB,False,,,3301805,44.4655,,,,1,,,,
LABG_0112,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004103515.1,GCF_004103515.1.fna,core_LAB,False,,,3316671,44.4318,,,,2,,,,
LABG_0113,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004141755.1,GCF_004141755.1.fna,core_LAB,False,,,3329372,44.4027,,,,7,,,,
LABG_0114,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004141875.1,GCF_004141875.1.fna,core_LAB,False,,,3388332,44.3469,,,,5,,,,
LABG_0115,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004141895.1,GCF_004141895.1.fna,core_LAB,False,,,3301393,44.2462,,,,5,,,,
LABG_0116,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004319665.1,GCF_004319665.1.fna,core_LAB,False,,,3378627,44.3737,,,,6,,,,
LABG_0117,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004328745.1,GCF_004328745.1.fna,core_LAB,False,,,3217131,44.5268,,,,6,,,,
LABG_0118,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004337615.1,GCF_004337615.1.fna,core_LAB,False,,,3649371,44.1111,,,,11,,,,
LABG_0119,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004730965.1,GCF_004730965.1.fna,core_LAB,False,,,3534932,44.2442,,,,1,,,,
LABG_0120,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_005576935.1,GCF_005576935.1.fna,core_LAB,False,,,3380674,44.3389,,,,4,,,,
LABG_0121,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_006770485.1,GCF_006770485.1.fna,core_LAB,False,,,3303360,44.4651,,,,3,,,,
LABG_0122,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_006770505.1,GCF_006770505.1.fna,core_LAB,False,,,3259255,44.472,,,,2,,,,
LABG_0123,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_007833595.1,GCF_007833595.1.fna,core_LAB,False,,,3306722,44.4975,,,,2,,,,
LABG_0124,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009619495.1,GCF_009619495.1.fna,core_LAB,False,,,3333531,44.4664,,,,3,,,,
LABG_0125,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009720585.1,GCF_009720585.1.fna,core_LAB,False,,,3382104,44.4001,,,,4,,,,
LABG_0126,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009759825.1,GCF_009759825.1.fna,core_LAB,False,,,3363821,44.363,,,,9,,,,
LABG_0127,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009759845.1,GCF_009759845.1.fna,core_LAB,False,,,3238595,44.5728,,,,5,,,,
LABG_0128,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009762745.1,GCF_009762745.1.fna,core_LAB,False,,,3332776,44.422,,,,2,,,,
LABG_0129,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913615.1,GCF_009913615.1.fna,core_LAB,False,,,3223642,44.6002,,,,1,,,,
LABG_0130,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913635.1,GCF_009913635.1.fna,core_LAB,False,,,3223644,44.6002,,,,1,,,,
LABG_0131,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913655.1,GCF_009913655.1.fna,core_LAB,False,,,3223643,44.6003,,,,1,,,,
LABG_0132,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913675.1,GCF_009913675.1.fna,core_LAB,False,,,3478302,44.252,,,,7,,,,
LABG_0133,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913695.1,GCF_009913695.1.fna,core_LAB,False,,,3344317,44.4278,,,,4,,,,
LABG_0134,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913835.1,GCF_009913835.1.fna,core_LAB,False,,,3358114,44.4339,,,,6,,,,
LABG_0135,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913855.1,GCF_009913855.1.fna,core_LAB,False,,,3416247,44.3386,,,,6,,,,
LABG_0136,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913975.1,GCF_009913975.1.fna,core_LAB,False,,,3377893,44.4118,,,,3,,,,
LABG_0137,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009914095.1,GCF_009914095.1.fna,core_LAB,False,,,3410777,44.4086,,,,5,,,,
